OBJECTID,Identificador unico de la unidad de planeamiento,Tipo de unidad de planeamiento,Nombre de la unidad de planeamiento,Acto administrativo de la unidad de planeamiento,Area de la unidad de planeamiento,coord_x,coord_y
129,UPZ100,1,GALERIAS,Dcto. 621-29/12/2006 (Gaceta 456/2007),2375681.13094208,"-74,07208281899997","4,642903876652436"
130,UPZ83,1,LAS MARGARITAS,,1472415.46489416,"-74,1781751275","4,637752138652276"
131,UPZ107,1,QUINTA PAREDES,"Dcto. 086-8/03/2011 Modificatorio del 1096-26/12/2000, 227-22/03/2001 Mod.=Res 496/2008, Dec 154/2009",1739559.54055704,"-74,0902518645","4,631541124152076"
132,UPZ101,1,TEUSAQUILLO,Dcto. 492-26/10/2007  Mod.=Res 253/2009 (Gaceta 516/2009),2357007.97363136,"-74,075133155","4,626522263151916"
133,UPZ91,1,SAGRADO CORAZON,Dcto. 492-26/10/2007  Mod.=Res 249/2009 (Gaceta 516/2009),1461892.7367072,"-74,0639951005","4,6192456991516915"
134,UPZ81,1,GRAN BRITALIA,Dcto. 217-13/07/2005 (Gaceta 373/2005),1799021.0385315,"-74,17561830950001","4,619844134151707"
135,UPZ108,1,ZONA INDUSTRIAL,Dcto. 317-26/07/2011 Modific¢ el 062-14/02/2007 (Gaceta 464/2007) Mod.=Res 1597/2009,3469535.22939928,"-74,09508479050001","4,616903908151588"
136,UPZ75,1,FONTIBON,,4964574.37426624,"-74,14341665949999","4,676983522653555"
137,UPZ22,1,DOCE DE OCTUBRE,Dcto. 287-23/08/2005 (Gaceta 380/2005),3362551.07978832,"-74,07832211249999","4,671245890153368"
138,UPZ114,1,MODELIA,Dcto. 903-04/12/2001 Mod.=Res 940/2006 (Gaceta 443/2006),2615813.655183,"-74,1234108855","4,666632895153214"
139,UPZ103,1,PARQUE SALITRE,Dcto. 255-26/08/2004,1652469.08483648,"-74,0856100805","4,66194230215307"
140,UPZ105,1,JARDIN BOTANICO,,1617052.11764096,"-74,1015699845","4,6621145201530645"
141,UPZ88,1,EL REFUGIO,"Dcto. 059-14/02/2007 modific¢ el 075-20/03/2003 Mod=Res 1000/2007,1062/2007,0612/2008,2475y2476/2009",3359784.85907734,"-74,04600417649999","4,664795523653169"
142,UPZ27,1,SUBA,"Dcto. 615-29/12/2006 (Gaceta 454/2007) Mod.=Res 0476/2008 (Gaceta 499/2008), Res 1133/2006 y 1291/2010",6529011.30738976,"-74,089086987","4,7509422776559695"
143,UPZ72,1,BOLIVIA,Dcto. 309-27/09/2004 Mod.= Circular No. 001/2008 (Gaceta 511/2008),4745041.59406224,"-74,115891533","4,72401293065507"
144,UPZ15,1,COUNTRY CLUB,Dcto. 128-11/04/2002,2856068.35550636,"-74,0432598075","4,711196854654679"
145,UPZ16,1,SANTA BARBARA,"Dcto. 1095-26/12/2000,227-22/03/2001 Mod.=Res 761/2007 (Gaceta 488/2008)",4586983.20974176,"-74,04506208599997","4,695822588154174"
146,UPZ21,1,LOS ANDES,Dcto. 188-21/06/2005 (Gaceta 367/2005) Mod.=Res 440/2007 (Gaceta 474/2007),2748166.45781722,"-74,06813489849998","4,681794592153706"
147,UPZ89,1,SAN ISIDRO - PATIOS,,1130182.34339996,"-74,0183858545","4,6684136641532685"
148,UPZ106,1,LA ESMERALDA,Dcto. 928-21/12/2001 Mod.=Decreto 344/2007,1928784.82398022,"-74,08694999100001","4,647636108152605"
149,UPZ86,1,EL PORVENIR,Dcto. 410-23/12/2004,4610321.2129408,"-74,19244143700001","4,64179392215242"
150,UPZ82,1,PATIO BONITO,Dcto. 398-15/12/2004 Mod.=Dec 337/2009 (gaceta 536/2009),3173216.61523776,"-74,16916711049998","4,641257053152403"
151,UPZ99,1,CHAPINERO,Dcto. 468-20/11/2006 (Gaceta 447/2006)  Mod.=Res 1021/2005,1593025.30679136,"-74,062814068","4,639034304152331"
152,UPZ109,1,CIUDAD SALITRE ORIENTAL,"Dcto. 324-11/10/2004 Mod.=Res 5652/2000, 443/2004, 113/2007, 560/2007 (Gacetas 465 de 2007, 475 de 2007)",1805296.56927462,"-74,10144534649999","4,644015331652473"
153,UPZ90,1,PARDO RUBIO,"Dcto. 614-29/12/2006 (Gaceta 453/2007) Mod.=Res 1138/2006, Res 1000/2007 (Gaceta 499/2008)",2851990.05157191,"-74,055576935","4,637899222152306"
154,UPZ33,1,SOSIEGO,Dcto. 382-23/11/2004,2349163.44850112,"-74,08625979850001","4,579331782650375"
155,UPZ111,1,PUENTE ARANDA,"Dcto. 317-26/07/2011 Mod el 062-14/02/2007 (Gac 464/2007) Mod=Res733/2007,732/2008 (Gac480/2007,504/2008)",3564474.29990944,"-74,1069331745","4,635427204152204"
156,UPZ102,1,LA SABANA,"Dcto. 187-17/05/2002 Mod.=Res 649/2006,348/2007,2296/2010 (Gacetas 429/2006,483/2007), Dec 335/2009",4509421.53878876,"-74,08535648700001","4,610830520651412"
157,UPZ45,1,CARVAJAL,Dcto. 251-01/08/2005 (Gaceta 377/2005),4385930.05325738,"-74,141022112","4,6070926136512735"
158,UPZ93,1,LAS NIEVES,Dcto. 492-26/10/2007,1725738.60148572,"-74,0752813565","4,605242200651212"
159,UPZ37,1,SANTA ISABEL,Dcto. 349-15/08/2002 Mod.=Res 0071/2004 (Gaceta 290/2004),2004626.73251706,"-74,09592781750001","4,599183839651026"
160,UPZ49,1,APOGEO,Dcto. 180-8/06/2005 (Gaceta 366/2005),2105837.3335128,"-74,165492089","4,600999832151069"
161,UPZ19,1,EL PRADO,"Dcto. 299-10/07/2002 (Gaceta 251/2002) Mod.=Res 820/2007, 1673/2010",4334033.58117489,"-74,05693696899999","4,723793182655086"
162,UPZ24,1,NIZA,"Dcto. 175-31/05/2006 Mod.=Dec 368/2008 (Gaceta 507/2008), Res 699/2009",7565952.98134802,"-74,0734827155","4,717565151654879"
163,UPZ23,1,CASA BLANCA SUBA,"Dcto. 259-19/07/2006 (Gaceta 430/2006) Mod.=Res 074/2005, 1043/2005",4204838.1945564,"-74,069771358","4,745431768155788"
164,UPZ110,1,CIUDAD SALITRE OCCIDENTAL,"Dcto. 326-11/10/2004 Mod.=Res 5652/2000, 443/2004, 0748/2006 (Gaceta 429/2006)",2257012.53811008,"-74,112054457","4,6557685296528675"
165,UPZ104,1,PARQUE SIMON BOLIVAR - CAN,Dcto. 301-12/07/2011 Modifica el 254-26/08/2004,3986842.658348,"-74,09118465749998","4,64899198365265"
166,UPZ31,1,SANTA CECILIA,"Dcto. 152-12/05/2006 Mod.=Res 1040/2005, 037-31/01/2011,320/2008 (Gaceta 494/2008)",3085797.67891668,"-74,1080550975","4,676338018153565"
167,UPZ68,1,EL TESORO,"Dcto. 439-12/2004, 152-19/05/2005 (Gaceta 351/ 2005) Mod.=Decreto 152/2005 (Gaceta 364/2005)",2108622.10963588,"-74,14259425149999","4,539177575649065"
168,UPZ64,1,MONTE BLANCO,,6956743.76725988,"-74,135299731","4,499838995647796"
169,UPZ71,1,TIBABUYES,Dcto. 430-28/12/2004 (Gaceta 349/2005) Mod.=Res 1133/2006 (Gaceta 458/2007),7263801.48870112,"-74,1173721655","4,744648318655761"
170,UPZ29,1,MINUTO DE DIOS,"Dcto. 348-15/08/2002 Mod.=Res 221/2007, 0763/2008, 044/2009  (Gacetas 470/2007, 2008, 514/2009)",3732645.07686226,"-74,09776046800002","4,709373049154608"
171,UPZ76,1,FONTIBON SAN PABLO,,3599678.43162984,"-74,16131924300001","4,693959715654117"
172,UPZ3,1,GUAYMARAL,,4536367.04290979,"-74,046772831","4,815091861158036"
173,UPZ80,1,CORABASTOS,Dcto. 263-07/07/2010,1845254.78990788,"-74,16225310550001","4,630679815652059"
174,UPZ67,1,LUCERO,"Dcto. 440-12/2004 (Gaceta 352/2005), 152-19/05/2005 (Gaceta 382/2005) Mod.=Dec 152/2005 (Gaceta 364/2005)",5863865.498866,"-74,1499390745","4,550667241649428"
175,UPZ63,1,EL MOCHUELO,,3167349.55972095,"-74,13005935550001","4,540190554649095"
176,UPZ55,1,DIANA TURBAY,Dcto. 218-13/07/2005 (Gaceta 374/2005),2114331.60977108,"-74,109137858","4,543993112149247"
177,UPZ51,1,LOS LIBERTADORES,Dcto. 351-04/09/2006 (Gaceta 435/2006),3649394.85846748,"-74,091230707","4,53287238164887"
178,UPZ60,1,PARQUE ENTRENUBES,,3820197.21795334,"-74,10223825150001","4,537096932149005"
179,UPZ56,1,DANUBIO,Dcto. 409-23/12/2004,2887408.65612096,"-74,11453515100001","4,535959088648992"
180,UPZ65,1,ARBORIZADORA,Dcto. 241-19/07/2005 (Gaceta 375/2005) Mod.=Res 060/2005,3062641.9086586,"-74,15118114399999","4,583209055150504"
181,UPZ2,1,LA ACADEMIA,,6720730.80488704,"-74,05115585550001","4,789090139157229"
182,UPZ17,1,SAN JOSE DE BAVARIA,"Dcto. 380-23/11/2004 Mod.=Res 0806/2008 (Gaceta 506/2008), Dec 326/2009 (Gaceta 536/2009) Res 983/2009",4382731.62949824,"-74,05829568300001","4,761712509156318"
183,UPZ18,1,BRITALIA,Dcto. 167-31/05/2004,3286562.31463882,"-74,05652484550001","4,749095254655929"
184,UPZ26,1,LAS FERIAS,Dcto. 438-07/12/2005 (Gaceta 399/2005) Mod.=Res 223/2009 (Gaceta 516/2009),4733431.50687888,"-74,090608895","4,681298052653686"
185,UPZ115,1,CAPELLANIA,,2721091.5524686,"-74,12437400600001","4,678461973153638"
186,UPZ50,1,LA GLORIA,Dcto. 407-23/12/2004,3858577.59339351,"-74,09086414699999","4,546991863649341"
187,UPZ20,1,LA ALHAMBRA,Dcto. 397-15/12/2004,2847741.17528976,"-74,062143701","4,697977391154267"
188,UPZ79,1,CALANDAIMA,,3189343.8707216,"-74,162253378","4,648562583652634"
189,UPZ61,1,CIUDAD USME,,9254733.37950966,"-74,10595298199999","4,484097263647271"
190,UPZ12,1,TOBERIN,"Dcto. 264-23/06/2011 Modifica el 199-23/05/2002 Mod.=Res 646/2005, Decreto 399/2009",2906631.46859632,"-74,04013264849999","4,741242888155667"
191,UPZ10,1,LA URIBE,Dcto. 613-29/12/2006 Mod.=Res 1134/2006,3452642.54199584,"-74,03164637450001","4,75063909865597"
192,UPZ59,1,ALFONSO LOPEZ,Dcto. 405-23/12/2004,2164934.29750141,"-74,102311902","4,495121031647631"
193,UPZ58,1,COMUNEROS,"Dcto. 431- 12/2004 (Gaceta 350/2005) Mod.=Res 820/2006,0520/2008 (Gacetas 438/2006,499/2008)",4930356.19032083,"-74,1166598065","4,506480089147988"
194,UPZ43,1,SAN RAFAEL,"Dcto. 0274-15/07/2010, 414-04/11/2005 (Gaceta 392/2005), 274-07/2010 Mod.=Res 426/2006,1140/2006,321/2008",3293127.13781488,"-74,11743796049998","4,619179335651689"
195,UPZ47,1,KENNEDY CENTRAL,Dcto. 308-27/09/2004,3372133.9579344,"-74,158283665","4,62259131915177"
196,UPZ48,1,TIMIZA,Dcto. 467-20/11/2006 (Gaceta 446/2006),4304383.14853092,"-74,16214602149998","4,608399009651302"
197,UPZ113,1,BAVARIA,Dcto. 620-29/12/2006 (Gaceta 455/2007),2772278.94580024,"-74,12803635199998","4,638383136152295"
198,UPZ44,1,AMERICAS,Dcto. 381-06/09/2002,3809694.02332296,"-74,135410751","4,620371602651719"
199,UPZ13,1,LOS CEDROS,Dcto. 27-11/08/2005 (Gaceta 379/2005),6722632.07865196,"-74,0349831375","4,724644079155112"
200,UPZ70,1,JERUSALEM,Dcto. 151-12/05/2006,5374763.44439028,"-74,16479088","4,566445717149957"
201,UPZ36,1,SAN JOSE,"Dcto. 176-31/05/2006 Mod.=Res 1040/2005,1039/2005,248/2009 (Gaceta 516/ 2009)",2079471.07119744,"-74,1047933145","4,572964222650167"
202,UPZ66,1,SAN FRANCISCO,Dcto. 415-04/11/2005 (Gaceta 393/2005),1786033.84327361,"-74,14762781350001","4,565496128649935"
203,UPZ57,1,GRAN YOMASA,Dcto. 411-23/12/2004,5357986.12383344,"-74,11033257099999","4,515680755648313"
204,UPZ52,1,LA FLORA,Dcto. 400-25/09/2006 (Gaceta 441/2006),1877160.25612561,"-74,08688619949999","4,507608788648042"
205,UPZ11,1,SAN CRISTOBAL NORTE,Dcto. 377-13/09/2006 (Gaceta 439/2006),2752775.05499584,"-74,02182607750001","4,737188913155533"
206,UPZ14,1,USAQUEN,Dcto. 270-11/08/2005 (Gaceta 378/2005),4926919.80587824,"-74,03443138","4,695607871154158"
207,UPZ73,1,GARCES NAVAS,Dcto. 073-15/03/2006 Mod.=Res 647/2007 (Gaceta 477/2007),5550406.97515134,"-74,12709938750001","4,712802610154738"
208,UPZ74,1,ENGATIVA,,5876344.9717031,"-74,1411071005","4,711586899154686"
209,UPZ25,1,LA FLORESTA,"Dcto. 125-09/04/2002, 198-23/05/2002 Mod.=Dec 249/2009 (gaceta 529/2009), Res 434/2006",3934775.93426624,"-74,07938248550002","4,701303444654369"
210,UPZ97,1,CHICO LAGO,"Dcto. 059-14/02/2007 modific¢ el 075-20/03/2003 Mod=Res 1000/2007,1062/2007,0612/2008,2475y2476/2009",4224476.02528696,"-74,05084019899999","4,668770778153304"
211,UPZ98,1,LOS ALCAZARES,Dcto. 262-07/07/2010,4140271.1548731,"-74,068454645","4,664285680653151"
212,UPZ96,1,LOURDES,Dcto. 350-04/09/2006 (Gaceta 434/2006),2001371.25424362,"-74,07089931349998","4,586912905650614"
213,UPZ92,1,LA MACARENA,Dcto. 492-26/10/2007,858972.81450397,"-74,06365569200003","4,608568737651341"
214,UPZ94,1,LA CANDELARIA,Dcto. 492-26/10/2007,2060243.21071733,"-74,07035071249999","4,5961947156509515"
215,UPZ9,1,VERBENAL,Dcto. 354-04/09/2006 (Gaceta 437/2006),3557883.95914466,"-74,03278030050001","4,763207031156348"
216,UPZ28,1,EL RINCON,"Dcto. 399-15/12/2004 Mod.=Res 582/2007 (Gaceta 484/2007), Res 881/2009",7100888.21943748,"-74,0924072125","4,732206734655371"
217,UPZ30,1,BOYACA REAL,"Dcto. 070-26/02/2002 Mod.=Res 882/2005,995/2006,0523/2006 (Gacetas 401/2005,448/2006,429/2006,514/2009)",4537818.20272056,"-74,10337701899999","4,6944794531541145"
218,UPZ116,1,ALAMOS,,2002441.40285184,"-74,1169454345","4,683104282653771"
219,UPZ35,1,CIUDAD JARDIN,Dcto. 116-15/04/2005 (Gaceta 361/2005),1332391.85019328,"-74,09371283799999","4,583808271150536"
220,UPZ38,1,RESTREPO,"Dcto. 224/08/06/2011Modifica 298-09/07/2002 Mod.=Res 171/2005, 700/2007 (Gaceta 477/2007)",3547155.14866624,"-74,10987968149999","4,589752024150701"
221,UPZ41,1,MUZU,"Dcto. 074-15/03/2006 Mod.=Res 865/2006 (Gacetas 483/2007, 438/2006)",2528220.51448936,"-74,12551911099999","4,601288891651114"
222,UPZ40,1,CIUDAD MONTES,Dcto. 413-04/11/2005 (Gac 391/2005),4455786.99225927,"-74,1134720725","4,60716496615129"
223,UPZ34,1,20 DE JULIO,Dcto. 353-04/09/2006 (Gaceta 436/2006) Mod.=Dec 458/2009 (Gaceta 525/2009),2625356.6869238,"-74,09505708149999","4,565065676149933"
224,UPZ84,1,BOSA OCCIDENTAL,"Dcto. 408-23/12/2004 Mod.=Res 1115/2006 (Gaceta 458/2007), Reso 1297/2008",4303798.53918432,"-74,19222119400001","4,6236825176518455"
225,UPZ85,1,BOSA CENTRAL,Dcto. 313-06/09/2005 (Gaceta 384/2005),7146564.92009534,"-74,19661819749999","4,608092155651322"
226,UPZ32,1,SAN BLAS,Dcto. 378-13/09/2006 (Gaceta 440/2006),4000322.31682935,"-74,08001318799998","4,564996274649891"
227,UPZ95,1,LAS CRUCES,Dcto. 492-26/10/2007,923683.0681208,"-74,082718312","4,589768241650718"
228,UPZ87,1,TINTAL SUR,,5769039.1781884,"-74,2096651585","4,630291810652025"
229,UPZ1,1,PASEO DE LOS LIBERTADORES,,6309530.07318131,"-74,03301574100001","4,7965510201574615"
230,UPZ46,1,CASTILLA,Dcto. 429-28/12/2004 (Gaceta 348/2005) Mod.=Res 719/2004,5031965.71137201,"-74,14244156250001","4,644275726152516"
231,UPZ112,1,GRANJAS DE TECHO,Dcto. 622-29/12/2006 (Gaceta 457/2007) Mod.=Res 624/2007 (Gaceta 477/2007),4776034.45072576,"-74,12561628","4,654020780652804"
232,UPZ78,1,TINTAL NORTE,,3433737.97638127,"-74,15414483700002","4,656688148152901"
233,UPZ117,1,AEROPUERTO EL DORADO,,7430911.78466176,"-74,1418389255","4,700599458654326"
234,UPZ77,1,ZONA FRANCA,,4915888.33331656,"-74,1575748505","4,678612208153616"
235,UPZ54,1,MARRUECOS,Dcto. 406-23/12/2004 Mod.=Res 482/2007 (Gaceta 483/2007),3628884.97907487,"-74,11566251300002","4,556695216149627"
236,UPZ39,1,QUIROGA,Dcto. 297-09/07/2002 Mod.=Res 0483/2008 (Gaceta 499/2008)),3795817.45564944,"-74,1166846445","4,58111027915044"
237,UPZ62,1,TUNJUELITO,Dcto. 072-15/03/2006,3272483.24720852,"-74,130887307","4,5575560951496925"
238,UPZ53,1,MARCO FIDEL SUAREZ,Dcto. 216-13/07/2005 (Gaceta 372/2005),1845365.61029148,"-74,1150123845","4,569586381650049"
239,UPZ69,1,ISMAEL PERDOMO,Dcto. 078-15/03/2006,5598956.44353248,"-74,17058883500002","4,583977671650514"
240,UPZ42,1,VENECIA,Dcto. 459-02/11/2010,6638420.2161978,"-74,14110613849999","4,581344649650459"
241,UPR3,2,UPR RIO TUNJUELO,,267277802.736068,"-74,15057190799999","4,416376073145049"
242,UPR4,2,UPR RIO BLANCO,Decreto 553 de diciembre de 2015,359666143.577134,"-74,171883296","4,155717818636565"
243,UPR5,2,UPR RIO SUMAPAZ,Decreto 552 de diciembre de 2015,421283865.372875,"-74,33185644100001","3,9309568361292397"
244,UPR1,2,UPR ZONA NORTE,Decreto 435 de noviembre de 2015,36886663.7274617,"-74,07406665849999","4,797108030657466"
